Suggested,Sugjeruar
Cannot resolve layered filter type,Nuk mund të zgjidhet lloji i filtrit me shtresa
Invalid format provided. Please use 'Y-m-d H:i:s' format.,Format i pavlefshëm është dhënë. Ju lutemi përdorni formatin 'Y-m-d H:i:s'.
Missing key %1 in product data,Mungon çelësi %1 në të dhënat e produktit
Concrete type for %1 not implemented,Lloji i betonit për %1 nuk është zbatuar
Cannot resolve type,Lloji nuk mund të zgjidhet
currentPage value must be greater than 0.,Vlera e faqes aktuale duhet të jetë më e madhe se 0.
pageSize value must be greater than 0.,Vlera e madhësisë së faqes duhet të jetë më e madhe se 0.
path value should be specified,"Vlera ""rruga"" duhet të specifikohet"
Category doesn't exist,Kategoria nuk ekziston
Category image not found.,Imazhi i kategorisë nuk u gjet.
currentPage value %1 specified is greater than the number of pages available.,Vlera aktuale e faqes %1 e specifikuar është më e madhe se numri i faqeve të disponueshme.
No child sku found for product link.,Nuk u gjet asnjë sku fëmijësh për lidhjen e produktit.
"Failed to retrieve product links for ""%1""","Dështoi në marrjen e lidhjeve të produktit për ""%1"""
option_type_id value should be specified.,"Duhet të specifikohet vlera ""option_type_id""."
image_type value should be specified,"Duhet të specifikohet vlera ""image_type""."
Product search has been disabled.,Kërkimi i produktit është çaktivizuar.
'search' or 'filter' input argument is required.,Kërkohet argumenti i hyrjes 'kërko' ose 'filtër'.
%1 type not defined in schema.,Lloji %1 nuk është përcaktuar në skemë.
Invalid match filter,Filtri i pavlefshëm i përputhjes
There are no product types available for export.,Nuk ka asnjë lloj produkti të disponueshëm për eksport.
'Entity type model must be an instance of ' .,'Modeli i llojit të njësisë ekonomike duhet të jetë një shembull i' .
"Wrong attribute set code ""%1"", please correct it and try again.","Kodi i gabuar i grupit të atributeve ""%1"", korrigjojeni dhe provoni përsëri."
"Category ""%1"" has not been created.","Kategoria ""%1"" nuk është krijuar."
File directory '%1' is not readable.,Drejtoria e skedarit '%1' nuk lexohet.
File directory '%1' is not writable.,Drejtoria e skedarit '%1' nuk mund të shkruhet.
Value for 'price' sub attribute in 'store' attribute contains incorrect value,Vlera për nënatributin 'çmim' në atributin 'store' përmban vlerë të pasaktë
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: %1","Vlera për nënatributin 'type' në atributin 'custom_options' përmban vlerë të pasaktë, vlerat e pranueshme janë: %1"
Please enter a value for title.,Ju lutemi vendosni një vlerë për titullin.
Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value,Vlera për nënatributin 'çmim' në atributin 'opsionet_custom' përmban vlerë të pasaktë
Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value,Vlera për nënatributin 'maksimum karaktere' në atributin 'opsionet_custom' përmban vlerë të pasaktë
Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value,Vlera për nënatributin 'rendit e rendit' në atributin 'opsionet_custom' përmban vlerë të pasaktë
Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value,Vlera për nënatributin 'çmimi i vlerës' në atributin 'opsionet_custom' përmban vlerë të pasaktë
This name is already being used for custom option. Please enter a different name.,Ky emër po përdoret tashmë për opsionin e personalizuar. Ju lutemi shkruani një emër tjetër.
Custom options have different types.,Opsionet e personalizuara kanë lloje të ndryshme.
Every option entity must have a parent product entity.,Çdo subjekt opsioni duhet të ketë një entitet produkti mëmë.
Please correct the parameters.,Ju lutemi korrigjoni parametrat.
Could not parse resource url.,URL-ja e burimit nuk mund të analizohej.
Import images directory must be writable in order to process remote images.,Drejtoria e imazheve të importit duhet të jetë e shkruajtshme në mënyrë që të përpunohen imazhet në distancë.
File '%1' was not found or has read restriction.,Skedari '%1' nuk u gjet ose ka kufizim leximi.
Invalid Stock data for insert,Të dhëna të pavlefshme të stokut për futje
ALL GROUPS,TË GJITHA GRUPET
Customer Group,Grupi i klientëve
Minimum Qty,Sasia minimale
Add Minimum Qty,Shtoni sasinë minimale
We can't rebuild the index for an undefined product.,Nuk mund ta rindërtojmë indeksin për një produkt të papërcaktuar.
Could not rebuild index for empty products array,Indeksi nuk mund të rindërtohet për grupin bosh të produkteve
The Product stock item is invalid. Verify the stock item and try again.,Artikulli i aksioneve të produktit është i pavlefshëm. Verifiko artikullin e aksioneve dhe provo sërish.
This product is out of stock.,Ky produkt është i mbaruar.
The stock item for Product in option is not valid.,Artikulli i aksioneve për produktin në opsion nuk është i vlefshëm.
Undefined product type,Lloji i pacaktuar i produktit
%1 is not a correct comparison method.,%1 nuk është një metodë e saktë krahasimi.
No Backorders,Nuk ka porositë prapa
Allow Qty Below 0,Lejo sasinë nën 0
Allow Qty Below 0 and Notify Customer,Lejo sasinë nën 0 dhe njofto klientin
The stock item was unable to be saved. Please try again.,Artikulli i aksioneve nuk mund të ruhej. Ju lutemi provoni përsëri.
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","Artikulli i aksioneve me ID-në ""%1"" nuk u gjet. Verifiko ID-në dhe provo sërish."
The stock was unable to be saved. Please try again.,Stoku nuk mund të ruhej. Ju lutemi provoni përsëri.
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","Stoku me ID-në ""%1"" nuk u gjet. Verifiko ID-në dhe provo sërish."
"Unable to remove Stock with id ""%1""","Nuk mund të hiqet stoku me ID ""%1"""
The stock status was unable to be saved. Please try again.,Statusi i stokut nuk mund të ruhej. Ju lutemi provoni përsëri.
Unable to remove Stock Status for product %1,Nuk mund të hiqet statusi i stokut për produktin %1
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","Vlera ""%1"" është e pavlefshme për ID-në e aksioneve. Fut stokun me një vlerë të paracaktuar %2 për të provuar përsëri."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","Vlera ""%1"" është e pavlefshme për ID-në e artikullit të aksioneve. Fut ose zero ose një numër se zero për të provuar përsëri."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","Vlera ""%1"" është e pavlefshme për ID-në e artikullit të aksioneve. Përdorni vlerën e caktuar ""%2"" të ID-së së artikullit të aksioneve dhe provoni përsëri."
Not all of your products are available in the requested quantity.,Jo të gjitha produktet tuaja janë të disponueshme në sasinë e kërkuar.
"The Product with the ""%1"" SKU doesn't exist.","Produkti me SKU ""%1"" nuk ekziston."
Please correct the quantity for some products.,Ju lutemi korrigjoni sasinë për disa produkte.
You cannot use decimal quantity for this product.,Ju nuk mund të përdorni sasi dhjetore për këtë produkt.
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Ne nuk kemi aq ""%1"" sa kërkuat ju, por do të mbështesim porosinë e mbetur %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Ne nuk kemi ""%1"" në sasinë e kërkuar, kështu që do të mbështesim porosinë e mbetur %2."
You can buy %1 only in quantities of %2 at a time.,Mund të blini %1 vetëm në sasi %2 në të njëjtën kohë.
Something went wrong while updating the product(s) attributes.,Diçka shkoi keq gjatë përditësimit të atributeve të produktit(eve).
Stock Status,Statusi i aksioneve
Advanced Inventory,Inventari i avancuar
%1 is available to buy in increments of %2,%1 është në dispozicion për t'u blerë me rritje prej %2
Only %1 left,Mbetet vetëm %1
Product availability,Disponueshmëria e produktit
Delete Rule,Fshi rregullin
Save and Apply,Ruani dhe aplikoni
Catalog Price Rule,Rregulli i çmimit të katalogut
Add New Rule,Shto rregull të ri
Apply Rules,Zbatoni Rregullat
Conditions (don't add conditions if rule is applied to all products),Kushtet (mos shtoni kushte nëse rregulli zbatohet për të gjitha produktet)
Promotions,Promovimet
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Ne gjetëm rregulla të përditësuara që nuk zbatohen. Ju lutemi, klikoni ""Apliko rregullat"" për të përditësuar katalogun tuaj."
We can't apply the rules.,Ne nuk mund të zbatojmë rregullat.
You deleted the rule.,E fshive rregullin.
We can't delete this rule right now. Please review the log and try again.,Nuk mund ta fshijmë këtë rregull për momentin. Ju lutemi rishikoni regjistrin dhe provoni përsëri.
We can't find a rule to delete.,Nuk mund të gjejmë një rregull për të fshirë.
New Catalog Price Rule,Rregulli i ri i çmimit të katalogut
You saved the rule.,Ju e keni ruajtur rregullin.
Something went wrong while saving the rule data. Please review the error log.,Ndodhi një gabim gjatë ruajtjes së të dhënave të rregullit. Ju lutemi rishikoni regjistrin e gabimeve.
Promo,Promo
"The ""%1"" rule was unable to be saved. Please try again.","Rregulli ""%1"" nuk mund të ruhej. Ju lutemi provoni përsëri."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","Rregulli me ID-në ""%1"" nuk u gjet. Verifiko ID-në dhe provo sërish."
"The ""%1"" rule couldn't be removed.","Rregulli ""%1"" nuk mund të hiqej."
Catalog rule indexing failed. See details in exception log.,Indeksimi i rregullave të katalogut dështoi. Shiko detajet në regjistrin e përjashtimeve.
Percentage discount should be between 0 and 100.,Zbritja në përqindje duhet të jetë midis 0 dhe 100.
Discount value should be 0 or greater.,Vlera e zbritjes duhet të jetë 0 ose më e madhe.
Unknown action.,Veprim i panjohur.
Update the Product,Përditëso Produktin
Rule price,Çmimi rregull
To Fixed Value,Për vlerën fikse
To Percentage,Në përqindje
By Fixed value,Me vlerë fikse
By Percentage,Sipas përqindjes
Update product's %1 %2: %3,Përditëso %1 %2: %3 të produktit
Apply as percentage of original,Aplikoni si përqindje e origjinalit
Apply as fixed amount,Aplikoni si shumë fikse
Adjust final price to this percentage,Rregulloni çmimin përfundimtar në këtë përqindje
Adjust final price to discount value,Rregulloni çmimin përfundimtar me vlerën e zbritjes
Conditions Combination,Kombinimi i kushteve
"Undefined condition type ""%1"" passed in.","Lloji i kushtit të papërcaktuar ""%1"" kaloi."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Operatori i pacaktuar SQL ""%1"" kaloi brenda. Operatorët e vlefshëm janë: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Operatori i rregullit të pacaktuar ""%1"" kaloi brenda. Operatorët e vlefshëm janë: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Mbledhja e rregullave të pacaktuar ""%1"" kaloi brenda. Operatorët e vlefshëm janë: %2"
Updated rules applied.,U zbatuan rregulla të përditësuara.
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Ke çaktivizuar rregullat e çmimit të katalogut %1 bazuar në atributin ""%2""."
Catalog Advanced Search,Kërkim i avancuar i katalogut
Results,Rezultatet
Advanced Search Results,Rezultatet e Kërkimit të Avancuar
Search Weight,Pesha e kërkimit
Relevance,Rëndësia
Search results for: '%1',Rezultatet e kërkimit për: '%1'
Minimum Search query length is %1,Gjatësia minimale e pyetjes së kërkimit është %1
Search term is empty,Termi i kërkimit është bosh
Enter a search term and try again.,Futni një term kërkimi dhe provoni përsëri.
%1 and greater,%1 dhe më shumë
up to %1,deri në %1
Default product collection strategy not found,Strategjia e paracaktuar e mbledhjes së produktit nuk u gjet
%1 and above,%1 e lart
%1 - %2,%1 - %2
"An error occurred. For details, see the error log.","Ndodhi një gabim. Për detaje, shihni regjistrin e gabimeve."
The bucket doesn't exist.,Kova nuk ekziston.
Disable Notice,Çaktivizo njoftimin
Test Exception,Përjashtim testi
Search Settings,Cilësimet e kërkimit
Please enter a valid price range.,Ju lutemi vendosni një gamë të vlefshme çmimi.
Advanced Search,kërkim i avancuar
<strong>%1 item</strong> were found using the following search criteria,<strong>%1 artikull</strong> u gjet duke përdorur kriteret e mëposhtme të kërkimit
<strong>%1 items</strong> were found using the following search criteria,<strong>%1 artikuj</strong> u gjetën duke përdorur kriteret e mëposhtme të kërkimit
We can't find any items matching these search criteria.,Nuk mund të gjejmë asnjë artikull që përputhet me këto kritere kërkimi.
